"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"ROY BLUNT","REPUBLICAN",FALSE,"total",1378458,2802637,FALSE,"20210114","REPUBLICAN"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"JOHNATHAN MCFARLAND","GREEN",FALSE,"total",30743,2802637,FALSE,"20210114","OTHER"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"STEVEN WALLACE","",TRUE,"total",1,2802637,FALSE,"20210114","OTHER"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"FRED RYMAN","CONSTITUTION",FALSE,"total",25407,2802637,FALSE,"20210114","OTHER"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"JASON KANDER","DEMOCRAT",FALSE,"total",1300200,2802637,FALSE,"20210114","DEMOCRAT"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",21,2802637,FALSE,"20210114","OTHER"
2016,"MISSOURI","MO",29,43,34,"US SENATE","statewide","gen",FALSE,"JONATHAN DINE","LIBERTARIAN",FALSE,"total",67738,2802637,FALSE,"20210114","LIBERTARIAN"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"JOSEPH J. HECK","REPUBLICAN",FALSE,"total",495079,1108294,FALSE,"20210114","REPUBLICAN"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"THOMAS ""TOM"" SAWYER","NONE",FALSE,"total",14208,1108294,FALSE,"20210114","OTHER"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"CATHERINE CORTEZ MASTO","DEMOCRAT",FALSE,"total",521994,1108294,FALSE,"20210114","DEMOCRAT"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"TONY GUMINA","NONE",FALSE,"total",10740,1108294,FALSE,"20210114","OTHER"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"TOM JONES","INDEPENDENT AMERICAN",FALSE,"total",17128,1108294,FALSE,"20210114","OTHER"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"NONE OF THE ABOVE","",FALSE,"total",42257,1108294,FALSE,"20210114","OTHER"
2016,"NEVADA","NV",32,88,65,"US SENATE","statewide","gen",FALSE,"JARROD M. WILLIAMS","NONE",FALSE,"total",6888,1108294,FALSE,"20210114","OTHER"
2016,"NEW HAMPSHIRE","NH",33,12,4,"US SENATE","statewide","gen",FALSE,"KELLY AYOTTE","REPUBLICAN",FALSE,"total",353632,739140,FALSE,"20210114","REPUBLICAN"
2016,"NEW HAMPSHIRE","NH",33,12,4,"US SENATE","statewide","gen",FALSE,"MAGGIE HASSAN","DEMOCRAT",FALSE,"total",354649,739140,FALSE,"20210114","DEMOCRAT"
2016,"NEW HAMPSHIRE","NH",33,12,4,"US SENATE","statewide","gen",FALSE,"SCATTER","",FALSE,"total",520,739140,FALSE,"20210114","OTHER"
2016,"NEW HAMPSHIRE","NH",33,12,4,"US SENATE","statewide","gen",FALSE,"BRIAN CHABOT","LIBERTARIAN",FALSE,"total",12597,739140,FALSE,"20210114","LIBERTARIAN"
2016,"NEW HAMPSHIRE","NH",33,12,4,"US SENATE","statewide","gen",FALSE,"AARON DAY","INDEPENDENT",FALSE,"total",17742,739140,FALSE,"20210114","OTHER"
